S. No.,Date,Region,Confirmed_Cases,Active_Cases,Cured,Death,Death_Rate,Growth_Rate
1,3/12/2020,India,74,71,3,0,0,0
2,3/13/2020,India,75,71,3,1,1,0
3,3/14/2020,India,84,72,10,2,1,1
4,3/15/2020,India,107,95,10,2,0,23
5,3/16/2020,India,114,99,13,2,0,4
6,3/17/2020,India,137,120,14,3,1,21
7,3/18/2020,India,146,129,14,3,0,9
8,3/19/2020,India,166,148,15,3,0,19
9,3/20/2020,India,195,171,20,4,1,23
10,3/21/2020,India,258,231,23,4,0,60
11,3/22/2020,India,360,329,24,7,3,98
12,3/23/2020,India,433,402,24,7,0,73
13,3/24/2020,India,492,446,37,9,2,44
14,3/25/2020,India,519,469,40,10,1,23
15,3/26/2020,India,649,593,43,13,3,124
16,3/27/2020,India,724,640,67,17,4,47
17,3/28/2020,India,909,810,80,19,2,170
18,3/29/2020,India,979,867,87,25,6,57
19,3/30/2020,India,1071,942,100,29,4,75
20,3/31/2020,India,1397,1238,124,35,6,296
21,4/1/2020,India,1637,1466,133,38,3,228
22,4/2/2020,India,1965,1764,151,50,12,298
23,4/3/2020,India,2301,2088,157,56,6,324
24,4/4/2020,India,2902,2650,184,68,12,562
25,4/5/2020,India,3374,3030,267,77,9,380
26,4/6/2020,India,4067,3666,292,109,32,636
27,4/7/2020,India,4421,3981,326,114,5,315
28,4/8/2020,India,5194,4643,402,149,35,662
29,4/9/2020,India,5734,5095,473,166,17,452
30,4/10/2020,India,6412,5709,504,199,33,614
31,4/11/2020,India,7447,6565,643,239,40,856
32,4/12/2020,India,8356,7367,716,273,34,802
33,4/13/2020,India,9152,7987,857,308,35,620
34,4/14/2020,India,10363,8988,1036,339,31,1001
35,4/15/2020,India,11439,9756,1306,377,38,768
36,4/16/2020,India,12380,10477,1489,414,37,721
37,4/17/2020,India,13387,11201,1749,437,23,724
38,4/18/2020,India,14378,11906,1992,480,43,705
39,4/19/2020,India,15712,12974,2231,507,27,1068
40,4/20/2020,India,17265,14175,2547,543,36,1201
41,4/21/2020,India,18601,14759,3252,590,47,584
42,4/22/2020,India,19984,15474,3870,640,50,715
43,4/23/2020,India,21393,16454,4258,681,41,980
44,4/24/2020,India,23077,17610,4749,718,37,1156
45,4/25/2020,India,24506,18668,5063,775,57,1058
46,4/26/2020,India,26496,19868,5804,824,49,1200
47,4/27/2020,India,27892,20835,6185,872,48,967
48,4/28/2020,India,29435,21632,6869,934,62,797
49,4/29/2020,India,31332,22629,7696,1007,73,997
50,4/30/2020,India,33050,23651,8325,1074,67,1022
51,5/1/2020,India,35043,25007,8889,1147,73,1356
52,5/2/2020,India,37336,26167,9951,1218,71,1160
53,5/3/2020,India,39980,28046,10633,1301,83,1879
54,5/4/2020,India,42533,29453,11707,1373,72,1407
55,5/5/2020,India,46433,32138,12727,1568,195,2685
56,5/6/2020,India,49390,33513,14183,1694,126,1375
57,5/7/2020,India,52951,35901,15267,1783,89,2388
58,5/8/2020,India,56341,37915,16540,1886,103,2014
59,5/9/2020,India,59662,39834,17847,1981,95,1919
60,5/10/2020,India,62939,41472,19358,2109,128,1638
61,5/11/2020,India,67152,44029,20917,2206,97,2557
62,5/12/2020,India,70756,46008,22455,2293,87,1979
63,5/13/2020,India,74281,47480,24386,2415,122,1472
64,5/14/2020,India,78003,49219,26235,2549,134,1739
65,5/15/2020,India,81970,51401,27920,2649,100,2182
66,5/16/2020,India,85940,53035,30153,2752,103,1634
67,5/17/2020,India,90927,53946,34109,2872,120,911
68,5/18/2020,India,96169,56316,36824,3029,157,2370
69,5/19/2020,India,101139,58802,39174,3163,134,2486
70,5/20/2020,India,106750,61149,42298,3303,140,2347
71,5/21/2020,India,112359,63624,45300,3435,132,2475
72,5/22/2020,India,118447,66330,48534,3583,148,2706
73,5/23/2020,India,125101,69597,51784,3720,137,3267
74,5/24/2020,India,131868,73560,54441,3867,147,3963
75,5/25/2020,India,138845,77103,57721,4021,154,3543
76,5/26/2020,India,145380,80722,60491,4167,146,3619
77,5/27/2020,India,151767,83004,64426,4337,170,2282
78,5/28/2020,India,158333,86110,67692,4531,194,3106
79,5/29/2020,India,165799,89987,71106,4706,175,3877
80,5/30/2020,India,173763,86422,82370,4971,265,-3565
81,5/31/2020,India,182143,89995,86984,5164,193,3573
82,6/1/2020,India,190535,93322,91819,5394,230,3327
83,6/2/2020,India,198706,97581,95527,5598,204,4259
84,6/3/2020,India,207615,101497,100303,5815,217,3916
85,6/4/2020,India,216919,106737,104107,6075,260,5240
86,6/5/2020,India,226770,110960,109462,6348,273,4223
87,6/6/2020,India,236657,115942,114073,6642,294,4982
88,6/7/2020,India,246628,120406,119293,6929,287,4464
89,6/8/2020,India,256611,125381,124095,7135,206,4975
90,6/9/2020,India,266598,129917,129215,7466,331,4536
91,6/10/2020,India,276583,133632,135206,7745,279,3715
92,6/11/2020,India,286579,137448,141029,8102,357,3816
93,6/12/2020,India,297535,141842,147195,8498,396,4394
